,indication,chembl_id,max_phase_for_ind,mesh_heading,mesh_id
705,chronic kidney disease,CHEMBL1168,3,"Renal Insufficiency, Chronic",D051436
706,hypertension,CHEMBL1168,4,Hypertension,D006973
712,dilated cardiomyopathy,CHEMBL1404,2,"Cardiomyopathy, Dilated",D002311
713,type II diabetes mellitus,CHEMBL1404,3,"Diabetes Mellitus, Type 2",D003924
716,colorectal adenocarcinoma,CHEMBL1946170,3,Colorectal Neoplasms,D015179
717,type II diabetes mellitus,CHEMBL1272,4,"Diabetes Mellitus, Type 2",D003924
718,acute myeloid leukemia,CHEMBL1643,2,"Leukemia, Myeloid, Acute",D015470
719,chronic hepatitis C virus infection,CHEMBL1643,4,"Hepatitis C, Chronic",D019698
720,hepatitis C virus infection,CHEMBL1643,3,Hepatitis C,D006526
722,post-traumatic stress disorder,CHEMBL744,1,"Stress Disorders, Post-Traumatic",D013313
724,bipolar disorder,CHEMBL85,4,Bipolar Disorder,D001714
725,psychosis,CHEMBL85,4,Psychotic Disorders,D011618
726,schizophrenia,CHEMBL85,4,Schizophrenia,D012559
738,atrial fibrillation,CHEMBL198362,4,Atrial Fibrillation,D001281
739,type II diabetes mellitus,CHEMBL198362,3,"Diabetes Mellitus, Type 2",D003924
740,Venous thrombosis,CHEMBL198362,4,Venous Thrombosis,D020246
741,Alzheimer's disease,CHEMBL636,3,Alzheimer Disease,D000544
744,asthma,CHEMBL193240,3,Asthma,D001249
745,Bronchiectasis,CHEMBL193240,3,Bronchiectasis,D001987
746,chronic obstructive pulmonary disease,CHEMBL193240,4,"Pulmonary Disease, Chronic Obstructive",D029424
747,non-alcoholic fatty liver disease,CHEMBL193240,2,Non-alcoholic Fatty Liver Disease,D065626
754,fibromyalgia,CHEMBL1303,2,Fibromyalgia,D005356
755,Parkinson's disease,CHEMBL1303,4,Parkinson Disease,D010300
756,Seizure,CHEMBL1201754,3,Seizures,D012640
763,nicotine dependence,CHEMBL972,2,Tobacco Use Disorder,D014029
764,obesity,CHEMBL1200694,2,Obesity,D009765
768,benign prostatic hyperplasia,CHEMBL24778,4,Prostatic Hyperplasia,D011470
770,Alzheimer's disease,CHEMBL1064,3,Alzheimer Disease,D000544
771,chronic obstructive pulmonary disease,CHEMBL1064,3,"Pulmonary Disease, Chronic Obstructive",D029424
772,Disorder of lipid metabolism,CHEMBL1064,3,Lipid Metabolism Disorders,D052439
773,Hypercholesterolemia,CHEMBL1064,4,Hypercholesterolemia,D006937
774,acute lymphoblastic leukemia,CHEMBL413,2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198
775,cancer,CHEMBL413,2,Neoplasms,D009369
776,kidney disease,CHEMBL413,1,Kidney Diseases,D007674
777,type I diabetes mellitus,CHEMBL413,3,"Diabetes Mellitus, Type 1",D003922
786,chronic kidney disease,CHEMBL1393,3,"Renal Insufficiency, Chronic",D051436
787,heart failure,CHEMBL1393,4,Heart Failure,D006333
788,hypertension,CHEMBL1393,4,Hypertension,D006973
790,migraine disorder,CHEMBL128,4,Migraine Disorders,D008881
795,insomnia,CHEMBL1083659,4,Sleep Initiation and Maintenance Disorders,D007319
796,benign prostatic hyperplasia,CHEMBL779,4,Prostatic Hyperplasia,D011470
797,erectile dysfunction,CHEMBL779,4,Erectile Dysfunction,D007172
802,acne,CHEMBL1657,4,Acne Vulgaris,D000152
803,psoriasis,CHEMBL1657,4,Psoriasis,D011565
804,hypertension,CHEMBL1017,4,Hypertension,D006973
805,cancer,CHEMBL1201182,4,Neoplasms,D009369
806,lymphoma,CHEMBL1201182,3,Lymphoma,D008223
807,myelodysplastic syndrome,CHEMBL1201182,2,Myelodysplastic Syndromes,D009190
808,renal cell carcinoma,CHEMBL1201182,4,"Carcinoma, Renal Cell",D002292
809,rheumatoid arthritis,CHEMBL1201182,2,"Arthritis, Rheumatoid",D001172
814,heart failure,CHEMBL386630,2,Heart Failure,D006333
815,prostate carcinoma,CHEMBL386630,2,Prostatic Neoplasms,D011471
816,sexual dysfunction,CHEMBL386630,3,"Sexual Dysfunction, Physiological",D012735
817,sexual dysfunction,CHEMBL2107067,2,"Sexual Dysfunction, Physiological",D012735
818,Huntington disease,CHEMBL117785,4,Huntington Disease,D006816
819,chronic obstructive pulmonary disease,CHEMBL190,3,"Pulmonary Disease, Chronic Obstructive",D029424
820,Airway obstruction,CHEMBL190,4,"Lung Diseases, Obstructive",D008173
822,non-Hodgkins lymphoma,CHEMBL727,1,"Lymphoma, Non-Hodgkin",D008228
823,psychosis,CHEMBL479,4,Psychotic Disorders,D011618
825,acute coronary syndrome,CHEMBL398435,4,Acute Coronary Syndrome,D054058
826,myocardial infarction,CHEMBL398435,3,Myocardial Infarction,D009203
836,type II diabetes mellitus,CHEMBL817,4,"Diabetes Mellitus, Type 2",D003924
837,nicotine dependence,CHEMBL1324,2,Tobacco Use Disorder,D014029
838,Parkinson's disease,CHEMBL1324,4,Parkinson Disease,D010300
839,carcinoma,CHEMBL344159,2,Carcinoma,D002277
840,cocaine dependence,CHEMBL220492,3,Cocaine-Related Disorders,D019970
841,epilepsy,CHEMBL220492,4,Epilepsy,D004827
845,hemorrhage,CHEMBL877,4,Hemorrhage,D006470
846,hip fracture,CHEMBL877,3,Hip Fractures,D006620
852,ischemia reperfusion injury,CHEMBL1237119,1,Reperfusion Injury,D015427
853,pulmonary arterial hypertension,CHEMBL1237119,3,"Hypertension, Pulmonary",D006976
854,Airway obstruction,CHEMBL1451,4,"Lung Diseases, Obstructive",D008173
855,diabetic retinopathy,CHEMBL1504,2,Diabetic Retinopathy,D003930
856,glaucoma,CHEMBL1504,2,Glaucoma,D005901
857,gout,CHEMBL1504,3,Gout,D006073
863,pain,CHEMBL865,3,Pain,D010146
864,epilepsy,CHEMBL433,4,Epilepsy,D004827
865,epilepsy,CHEMBL109,4,Epilepsy,D004827
866,pancreatic carcinoma,CHEMBL109,2,Pancreatic Neoplasms,D010190
868,congestive heart failure,CHEMBL1069,4,Heart Failure,D006333
869,heart failure,CHEMBL1069,4,Heart Failure,D006333
870,hypertension,CHEMBL1069,4,Hypertension,D006973
871,mesothelioma,CHEMBL24828,2,Mesothelioma,D008654
874,septic shock,CHEMBL373742,3,"Shock, Septic",D012772
876,melanoma,CHEMBL1229517,4,Melanoma,D008545
878,cocaine dependence,CHEMBL89598,2,Cocaine-Related Disorders,D019970
882,basal cell carcinoma,CHEMBL473417,4,"Carcinoma, Basal Cell",D002280
883,medulloblastoma,CHEMBL473417,2,Medulloblastoma,D008527
884,neoplasm,CHEMBL473417,4,Neoplasms,D009369
885,HIV infection,CHEMBL98,2,HIV Infections,D015658
886,multiple myeloma,CHEMBL98,3,Multiple Myeloma,D009101
887,non-small cell lung carcinoma,CHEMBL98,2,"Carcinoma, Non-Small-Cell Lung",D002289
890,asthma,CHEMBL603,4,Asthma,D001249
891,nicotine dependence,CHEMBL93,2,Tobacco Use Disorder,D014029
892,Sickle cell anemia,CHEMBL93,1,"Anemia, Sickle Cell",D000755
893,adenocarcinoma,CHEMBL924,1,Adenocarcinoma,D000230
894,cervical adenocarcinoma,CHEMBL924,2,Uterine Cervical Neoplasms,D002583
895,multiple myeloma,CHEMBL924,4,Multiple Myeloma,D009101
896,osteitis deformans,CHEMBL924,4,Osteitis Deformans,D010001
897,osteoporosis,CHEMBL924,4,Osteoporosis,D010024
898,osteosarcoma,CHEMBL924,2,Osteosarcoma,D012516
899,prostate carcinoma,CHEMBL924,4,Prostatic Neoplasms,D011471
900,migraine disorder,CHEMBL1185,4,Migraine Disorders,D008881
901,alcohol dependence,CHEMBL750,3,Alcoholism,D000437
902,epilepsy,CHEMBL750,4,Epilepsy,D004827
903,Parkinson's disease,CHEMBL750,2,Parkinson Disease,D010300
920,cardiovascular disease,CHEMBL1467,3,Cardiovascular Diseases,D002318
922,anxiety,CHEMBL661,4,Anxiety,D001007
923,unipolar depression,CHEMBL1113,4,Depressive Disorder,D003866
924,attention deficit hyperactivity disorder,CHEMBL405,4,Attention Deficit Disorder with Hyperactivity,D001289
927,stroke,CHEMBL231779,4,Stroke,D020521
928,Venous thrombosis,CHEMBL231779,4,Venous Thrombosis,D020246
929,ankylosing spondylitis,CHEMBL514800,3,"Spondylitis, Ankylosing",D013167
930,Behcet's syndrome,CHEMBL514800,3,Behcet Syndrome,D001528
931,psoriasis,CHEMBL514800,4,Psoriasis,D011565
932,psoriatic arthritis,CHEMBL514800,4,"Arthritis, Psoriatic",D015535
933,rheumatoid arthritis,CHEMBL514800,2,"Arthritis, Rheumatoid",D001172
934,HIV infection,CHEMBL1471,1,HIV Infections,D015658
935,narcolepsy with cataplexy,CHEMBL1201192,4,Narcolepsy,D009290
936,non-small cell lung carcinoma,CHEMBL1201192,1,"Carcinoma, Non-Small-Cell Lung",D002289
937,infertility,CHEMBL25,3,Infertility,D007246
938,migraine disorder,CHEMBL25,4,Migraine Disorders,D008881
939,stroke,CHEMBL25,4,Stroke,D020521
940,Marfan syndrome,CHEMBL24,3,Marfan Syndrome,D008382
946,erectile dysfunction,CHEMBL1963681,4,Erectile Dysfunction,D007172
947,non-small cell lung carcinoma,CHEMBL1489,2,"Carcinoma, Non-Small-Cell Lung",D002289
948,refractory anemia with excess blasts,CHEMBL1489,4,"Anemia, Refractory, with Excess of Blasts",D000754
949,rheumatoid arthritis,CHEMBL1542,4,"Arthritis, Rheumatoid",D001172
950,vasculitis,CHEMBL1542,3,Vasculitis,D014657
953,cocaine dependence,CHEMBL701,2,Cocaine-Related Disorders,D019970
954,nicotine dependence,CHEMBL701,2,Tobacco Use Disorder,D014029
957,allergic rhinitis,CHEMBL1200500,4,"Rhinitis, Allergic, Seasonal",D006255
958,Nasal Cavity Polyp,CHEMBL1200500,2,Nasal Polyps,D009298
961,glaucoma,CHEMBL632,2,Glaucoma,D005901
962,Nasal obstruction,CHEMBL1497,4,Nasal Obstruction,D015508
966,Alzheimer's disease,CHEMBL1023,2,Alzheimer Disease,D000544
967,schizophrenia,CHEMBL1023,3,Schizophrenia,D012559
968,open-angle glaucoma,CHEMBL1200963,4,"Glaucoma, Open-Angle",D005902
970,acute graft vs. host disease,CHEMBL325041,2,Graft vs Host Disease,D006086
971,cancer,CHEMBL325041,4,Neoplasms,D009369
972,lymphoma,CHEMBL325041,3,Lymphoma,D008223
973,melanoma,CHEMBL325041,2,Melanoma,D008545
974,neuroblastoma,CHEMBL325041,1,Neuroblastoma,D009447
975,chronic obstructive pulmonary disease,CHEMBL957,2,"Pulmonary Disease, Chronic Obstructive",D029424
976,idiopathic pulmonary fibrosis,CHEMBL957,3,Idiopathic Pulmonary Fibrosis,D054990
977,open-angle glaucoma,CHEMBL220491,4,"Glaucoma, Open-Angle",D005902
978,Crohn's disease,CHEMBL1370,4,Crohn Disease,D003424
979,eosinophilic esophagitis,CHEMBL1370,3,Eosinophilic Esophagitis,D057765
980,Nasal obstruction,CHEMBL1370,4,Nasal Obstruction,D015508
981,seasonal allergic rhinitis,CHEMBL1370,4,"Rhinitis, Allergic, Seasonal",D006255
982,heart failure,CHEMBL1072,4,Heart Failure,D006333
983,opioid dependence,CHEMBL511142,3,Opioid-Related Disorders,D009293
985,head and neck squamous cell carcinoma,CHEMBL1201748,2,"Carcinoma, Squamous Cell",D002294
986,prostate adenocarcinoma,CHEMBL1201748,3,Prostatic Neoplasms,D011471
987,migraine disorder,CHEMBL113,4,Migraine Disorders,D008881
988,acne,CHEMBL1200666,2,Acne Vulgaris,D000152
990,colonic neoplasm,CHEMBL1773,4,Colonic Neoplasms,D003110
991,pancreatic ductal adenocarcinoma,CHEMBL1773,2,"Carcinoma, Pancreatic Ductal",D021441
992,diabetic nephropathy,CHEMBL1560,4,Diabetic Nephropathies,D003928
994,glioblastoma multiforme,CHEMBL513,4,Glioblastoma,D005909
995,medulloblastoma,CHEMBL513,4,Medulloblastoma,D008527
996,multiple myeloma,CHEMBL513,4,Multiple Myeloma,D009101
997,cancer,CHEMBL723,2,Neoplasms,D009369
998,epilepsy,CHEMBL723,2,Epilepsy,D004827
999,central nervous system cancer,CHEMBL118,2,Glioma,D005910
1000,Familial adenomatous polyposis,CHEMBL118,4,Adenomatous Polyposis Coli,D011125
1001,preeclampsia,CHEMBL118,2,Pre-Eclampsia,D011225
1002,non-small cell lung carcinoma,CHEMBL2403108,4,"Carcinoma, Non-Small-Cell Lung",D002289
1006,chronic kidney disease,CHEMBL1042,3,"Renal Insufficiency, Chronic",D051436
1007,HIV infection,CHEMBL1042,3,HIV Infections,D015658
1008,pneumonia,CHEMBL1042,1,Pneumonia,D011014
1009,relapsing-remitting multiple sclerosis,CHEMBL1042,3,"Multiple Sclerosis, Relapsing-Remitting",D020529
1010,allergic rhinitis,CHEMBL2040682,4,"Rhinitis, Allergic, Seasonal",D006255
1011,seasonal allergic rhinitis,CHEMBL2040682,4,"Rhinitis, Allergic, Seasonal",D006255
1012,Peptic ulcer,CHEMBL30,4,Peptic Ulcer,D010437
1013,acute myeloid leukemia,CHEMBL1750,3,"Leukemia, Myeloid, Acute",D015470
1014,neuropathic pain,CHEMBL452,1,Neuralgia,D009437
1016,myelodysplastic syndrome,CHEMBL160,3,Myelodysplastic Syndromes,D009190
1017,psoriasis,CHEMBL160,3,Psoriasis,D011565
1018,cardiovascular disease,CHEMBL61593,4,Cardiovascular Diseases,D002318
1019,lymphoma,CHEMBL803,3,Lymphoma,D008223
1020,chronic myelogenous leukemia,CHEMBL1421,3,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",D015464
1022,leukemia,CHEMBL1201129,3,Leukemia,D007938
1023,neoplasm,CHEMBL1201129,4,Neoplasms,D009369
1025,hypertension,CHEMBL1200515,4,Hypertension,D006973
1026,hemorrhage,CHEMBL1533,3,Hemorrhage,D006470
1027,eye inflammation,CHEMBL1201109,4,Eye Diseases,D005128
1035,epilepsy,CHEMBL12,4,Epilepsy,D004827
1036,hypertension,CHEMBL181,4,Hypertension,D006973
1037,obesity,CHEMBL181,3,Obesity,D009765
1038,ankylosing spondylitis,CHEMBL139,3,"Spondylitis, Ankylosing",D013167
1039,basal cell carcinoma,CHEMBL139,2,"Carcinoma, Basal Cell",D002280
1040,rheumatoid arthritis,CHEMBL139,2,"Arthritis, Rheumatoid",D001172
1041,relapsing-remitting multiple sclerosis,CHEMBL2107333,3,"Multiple Sclerosis, Relapsing-Remitting",D020529
1042,HIV infection,CHEMBL932,1,HIV Infections,D015658
1043,cocaine dependence,CHEMBL964,2,Cocaine-Related Disorders,D019970
1047,neoplasm,CHEMBL1200810,1,Neoplasms,D009369
1052,irritable bowel syndrome,CHEMBL465,2,Irritable Bowel Syndrome,D043183
1053,schizophrenia,CHEMBL465,1,Schizophrenia,D012559
1054,benign prostatic hyperplasia,CHEMBL1200969,4,Prostatic Hyperplasia,D011470
1056,prostate carcinoma,CHEMBL1082407,4,Prostatic Neoplasms,D011471
1057,atrial fibrillation,CHEMBL1095097,2,Atrial Fibrillation,D001281
1060,epilepsy,CHEMBL58323,4,Epilepsy,D004827
1061,osteoarthritis,CHEMBL58323,2,Osteoarthritis,D010003
1062,partial epilepsy,CHEMBL58323,3,"Epilepsies, Partial",D004828
1068,neoplasm,CHEMBL691,4,Neoplasms,D009369
1069,pain,CHEMBL622,3,Pain,D010146
1070,psoriasis,CHEMBL464,4,Psoriasis,D011565
1071,carcinoma,CHEMBL1908360,3,Carcinoma,D002277
1072,cholangiocarcinoma,CHEMBL1908360,2,Cholangiocarcinoma,D018281
1073,glioblastoma multiforme,CHEMBL1908360,2,Glioblastoma,D005909
1074,hepatocellular carcinoma,CHEMBL1908360,2,"Carcinoma, Hepatocellular",D006528
1075,hyperlipidemia,CHEMBL1138,4,Hyperlipidemias,D006949
1076,metabolic syndrome,CHEMBL1138,3,Metabolic Syndrome,D024821
1077,epilepsy,CHEMBL41355,4,Epilepsy,D004827
1078,epilepsy,CHEMBL1094,4,Epilepsy,D004827
1079,adenoma,CHEMBL596,3,Adenoma,D000236
1084,asthma,CHEMBL1512,4,Asthma,D001249
1085,breast carcinoma,CHEMBL1501,2,Breast Neoplasms,D001943
1086,actinic keratosis,CHEMBL185,3,"Keratosis, Actinic",D055623
1087,chronic obstructive pulmonary disease,CHEMBL1676,4,"Pulmonary Disease, Chronic Obstructive",D029424
1088,Airway obstruction,CHEMBL1676,4,"Lung Diseases, Obstructive",D008173
1089,allergic rhinitis,CHEMBL1473,4,"Rhinitis, Allergic, Seasonal",D006255
1090,Nasal Cavity Polyp,CHEMBL1473,3,Nasal Polyps,D009298
1091,heart failure,CHEMBL35,4,Heart Failure,D006333
1092,Pruritus,CHEMBL940,3,Pruritus,D011537
1093,lung carcinoma,CHEMBL939,3,Lung Neoplasms,D008175
1094,squamous cell carcinoma,CHEMBL939,3,"Carcinoma, Squamous Cell",D002294
1099,diabetes mellitus,CHEMBL472,4,Diabetes Mellitus,D003920
1104,psoriasis,CHEMBL1200908,2,Psoriasis,D011565
1105,schizophrenia,CHEMBL54,4,Schizophrenia,D012559
1108,type II diabetes mellitus,CHEMBL435,3,"Diabetes Mellitus, Type 2",D003924
1109,eye inflammation,CHEMBL1091,4,Eye Diseases,D005128
1111,essential thrombocythemia,CHEMBL467,3,"Thrombocythemia, Essential",D013920
1112,multiple sclerosis,CHEMBL467,2,Multiple Sclerosis,D009103
1113,polycythemia vera,CHEMBL467,3,Polycythemia Vera,D011087
1115,lymphoma,CHEMBL1873475,3,Lymphoma,D008223
1116,macroglobulinemia,CHEMBL1873475,4,Waldenstrom Macroglobulinemia,D008258
1120,chronic obstructive pulmonary disease,CHEMBL494,2,"Pulmonary Disease, Chronic Obstructive",D029424
1127,ankylosing spondylitis,CHEMBL6,4,"Spondylitis, Ankylosing",D013167
1128,eye inflammation,CHEMBL6,4,Eye Diseases,D005128
1148,Hypercholesterolemia,CHEMBL1513,3,Hypercholesterolemia,D006937
1153,osteoarthritis,CHEMBL571,3,Osteoarthritis,D010003
1154,mental or behavioural disorder,CHEMBL741,1,Mental Disorders,D001523
1155,mood disorder,CHEMBL741,3,Mood Disorders,D019964
1156,unipolar depression,CHEMBL741,4,Depressive Disorder,D003866
1157,Growth delay,CHEMBL1444,2,Dwarfism,D004392
1159,epilepsy,CHEMBL1286,4,Epilepsy,D004827
1160,psychosis,CHEMBL1764,4,Psychotic Disorders,D011618
1161,carcinoma,CHEMBL79,2,Carcinoma,D002277
1162,premature birth,CHEMBL79,1,Premature Birth,D047928
1163,urinary tract infection,CHEMBL79,2,Urinary Tract Infections,D014552
1164,schizophrenia,CHEMBL237500,1,Schizophrenia,D012559
1166,seasonal allergic rhinitis,CHEMBL998,4,"Rhinitis, Allergic, Seasonal",D006255
1168,HIV infection,CHEMBL503,2,HIV Infections,D015658
1169,Neurofibromatosis type 1,CHEMBL503,2,Neurofibromatosis 1,D009456
1170,Constipation,CHEMBL1201134,4,Constipation,D003248
1171,obesity,CHEMBL781,4,Obesity,D009765
1173,pain,CHEMBL599,3,Pain,D010146
1175,irritable bowel syndrome,CHEMBL704,3,Irritable Bowel Syndrome,D043183
1177,epilepsy,CHEMBL450,4,Epilepsy,D004827
1178,psoriasis,CHEMBL34259,4,Psoriasis,D011565
1179,Fever,CHEMBL1341,4,Fever,D005334
1180,cardiovascular disease,CHEMBL1577,4,Cardiovascular Diseases,D002318
1181,methamphetamine dependence,CHEMBL796,2,Amphetamine-Related Disorders,D019969
1182,osteoarthritis,CHEMBL650,4,Osteoarthritis,D010003
1183,cardiovascular disease,CHEMBL878,4,Cardiovascular Diseases,D002318
1185,alcohol dependence,CHEMBL1276308,2,Alcoholism,D000437
1186,hepatitis C virus infection,CHEMBL1276308,2,Hepatitis C,D006526
1187,Niemann-Pick disease type C,CHEMBL1029,3,"Niemann-Pick Disease, Type C",D052556
1188,infection,CHEMBL606,0,Infections,D007239
1191,atopic eczema,CHEMBL1161,2,"Dermatitis, Atopic",D003876
1192,Nasal Cavity Polyp,CHEMBL1161,3,Nasal Polyps,D009298
1193,Nasal obstruction,CHEMBL1161,4,Nasal Obstruction,D015508
1194,psoriasis,CHEMBL1161,2,Psoriasis,D011565
1198,IGA glomerulonephritis,CHEMBL1456,3,"Glomerulonephritis, IGA",D005922
1199,nephrotic syndrome,CHEMBL1456,3,Nephrotic Syndrome,D009404
1200,rheumatic disease,CHEMBL1070,4,Rheumatic Diseases,D012216
1202,alcohol drinking,CHEMBL19019,1,Alcohol Drinking,D000428
1203,HIV infection,CHEMBL19019,3,HIV Infections,D015658
1204,obesity,CHEMBL19019,3,Obesity,D009765
1205,pain,CHEMBL19019,3,Pain,D010146
1206,Arthralgia,CHEMBL154,4,Arthralgia,D018771
1207,rheumatoid arthritis,CHEMBL154,4,"Arthritis, Rheumatoid",D001172
1208,cataract,CHEMBL1021,3,Cataract,D002386
1210,memory impairment,CHEMBL3,1,Memory Disorders,D008569
1211,Parkinson's disease,CHEMBL3,2,Parkinson Disease,D010300
1212,post operative nausea and vomiting,CHEMBL3,2,Postoperative Nausea and Vomiting,D020250
1213,Sarcoidosis,CHEMBL3,1,Sarcoidosis,D012507
1216,osteoporosis,CHEMBL730,3,Osteoporosis,D010024
1221,gambling behaviour,CHEMBL715,3,Gambling,D005715
1222,unipolar depression,CHEMBL715,3,Depressive Disorder,D003866
1223,neoplasm,CHEMBL521686,4,Neoplasms,D009369
1224,ovarian carcinoma,CHEMBL521686,4,Ovarian Neoplasms,D010051
1225,prostate adenocarcinoma,CHEMBL521686,3,Prostatic Neoplasms,D011471
1229,obesity,CHEMBL175247,4,Obesity,D009765
1230,Alternating hemiplegia of childhood,CHEMBL1200682,1,Hemiplegia,D006429
1231,Neurogenic bladder,CHEMBL1231,3,"Urinary Bladder, Neurogenic",D001750
1239,cancer,CHEMBL428647,4,Neoplasms,D009369
1240,cervical carcinoma,CHEMBL428647,3,Uterine Cervical Neoplasms,D002583
1241,neoplasm,CHEMBL428647,4,Neoplasms,D009369
1242,ovarian carcinoma,CHEMBL428647,3,Ovarian Neoplasms,D010051
1243,schizoaffective disorder,CHEMBL1621,4,Psychotic Disorders,D011618
1247,chronic kidney disease,CHEMBL1200622,4,"Renal Insufficiency, Chronic",D051436
1251,non-small cell lung carcinoma,CHEMBL628,2,"Carcinoma, Non-Small-Cell Lung",D002289
1252,psychosis,CHEMBL567,4,Psychotic Disorders,D011618
1254,cardiovascular disease,CHEMBL500,4,Cardiovascular Diseases,D002318
1255,multiple myeloma,CHEMBL18442,4,Multiple Myeloma,D009101
1256,cardiovascular disease,CHEMBL1587,4,Cardiovascular Diseases,D002318
1258,leprosy,CHEMBL131,2,Leprosy,D007918
1259,osteoarthritis,CHEMBL131,4,Osteoarthritis,D010003
1260,chronic obstructive pulmonary disease,CHEMBL635,3,"Pulmonary Disease, Chronic Obstructive",D029424
1261,heart failure,CHEMBL635,3,Heart Failure,D006333
1262,multiple myeloma,CHEMBL635,3,Multiple Myeloma,D009101
1263,pneumonia,CHEMBL635,4,Pneumonia,D011014
1264,prostate carcinoma,CHEMBL635,3,Prostatic Neoplasms,D011471
1265,alcohol dependence,CHEMBL1059,2,Alcoholism,D000437
1266,epilepsy,CHEMBL1059,4,Epilepsy,D004827
1267,irritable bowel syndrome,CHEMBL1059,2,Irritable Bowel Syndrome,D043183
1268,neuropathic pain,CHEMBL1059,4,Neuralgia,D009437
1269,diabetic nephropathy,CHEMBL608,2,Diabetic Nephropathies,D003928
1270,migraine disorder,CHEMBL728,3,Migraine Disorders,D008881
1271,menopause,CHEMBL103,3,Menopause,D008593
1272,migraine disorder,CHEMBL526,2,Migraine Disorders,D008881
1273,morbid obesity,CHEMBL526,2,"Obesity, Morbid",D009767
1274,pain,CHEMBL526,3,Pain,D010146
1275,bipolar disorder,CHEMBL1218,3,Bipolar Disorder,D001714
1276,heart failure,CHEMBL1168,3,Heart Failure,D006333
1277,adenoid cystic carcinoma,CHEMBL1946170,2,"Carcinoma, Adenoid Cystic",D003528
1278,bile duct carcinoma,CHEMBL1946170,2,Bile Duct Neoplasms,D001650
1279,cancer,CHEMBL1946170,4,Neoplasms,D009369
1280,Gastrointestinal stromal tumor,CHEMBL1946170,3,Gastrointestinal Stromal Tumors,D046152
1281,pancreatic carcinoma,CHEMBL1946170,2,Pancreatic Neoplasms,D010190
1282,sarcoma,CHEMBL1946170,2,Sarcoma,D012509
1283,hypertension,CHEMBL1668,4,Hypertension,D006973
1284,eye inflammation,CHEMBL1200617,4,Eye Diseases,D005128
